hondet,commonactid
Founder and Chair at YuwaShakti; Its a motivating campaign started by teenagers so that youths can stand on their own. Independence and Unity of youths is the motto.,140043311
"Founder & President, totalgirl.org; To promote awareness about the state of education and health for displaced girls  Deliver books and sanitary pads to them. Featured in Vanguard news.",140044012
"Founder & President, Hillcrest Medical Club; Explored medical science issues on Saturdays and created awareness about them to student body.",140044016
"Founder of 'Guitar club' at school; Played in Christmas concert, guest feature at Poetry Olympiad, tutored students.",140058555
"Founder/Chief Analytics Officer of GliaLab; A startup which offers a novel approach to diagnosing breast cancer. As CAO, I've helped the startup raise 2M since starting. Check out GliaLab.com.",140075821
CoFounder-The Village Empowerment Program; Collaborated with a rotary club and established a school in a village-RAKKAMPALIYAM-and taught social-science & science to underprivileged children.,140083152
Founder-ANTI BULLYING INITIATIVE; Collaborated with a behavioural counselling agency and conducted workshops and seminars for 1000 students in 14 schools to tackle adolescent bullying.,140083153
"Founder of UU Connect (Uvira-Uijongbu Connect); Pen-pal program that strives to teach English to 20 secondary students of Uvira, DR Congo; volunteers from four different countries.",140149514
"Seulo Esperanto Junalara Asocio, Founder/President; The Seoul Esperantist Youth Assoc. functions to allow secondary students from Seoul and surrounding areas to learn and become immersed in Esperanto.",140149511
"Co-Founder, Co-President/Girls Who Code Club; Established first coding education club in Syosset High School to promote girls in computer science; developed codes for drones and Arduinos.",140528551
"Founder, President/Murang Music; Founded non-profit organization promoting power of music; hosted biannual fundraiser concerts raising $2000 per year and summer concert series.",140528553
"Founder of Kerhadov; Kerhadov is an independent student organization dedicated to those who are eager to discuss philosophy, history, politics, culture and current events.",140654823
President and Founder of Rho Kappa; I founded the Social Studies Honors society at my school to recognize students who commit to academic excellence in social studies.,140811792
"Founder of the Entrepreneurship Club; Taught entrepreneurship concepts to members, such as the Business Model Canvas (BMC), hypothesis testing and experimenting in business.",140900411
"Co-President for Medical Care club; I founded this club with others peers who had medical backgrounds. With doctors, we provided good medical care for those living in remote places.",140900482
"Organizer, participant of various charity events.; I'm most dedicated to Bethlehem Bakery that my mother and I founded. It aims to help underprivileged kids develop interests in non-academic fields.",140901171
"Founder and host of Community Concert; Hosted the concert for consecutive years, responsible for catering, organizing activities, delegating jobs to volunteers.",140901922
"Founder/ chairman; created awareness on ways of conserving the environment, planted trees different parts of the country, won United Nations environment programmer prize.",140958631
Physics Club Cofounder & Research Committee Head; The Physics Club was founded to share the beauty of Physics & Astrophysics with the public in a simple spectacular way.,140967391
"President/Founder of Red Cross Club; As the president I organized club meetings and events with other board members such as fundraising, a school blood drive, and a CPR training course.",140969271
Founder/President of SAT/ACT Tutoring Club; Tutor; Pairs students of all backgrounds with qualified student tutors for 1 on 1 studying help. Offers a usually expensive program to all students for free.,141017235
"Co-founder and President at Medbit Inc; I founded a healthcare technology startup from ground up.Medbit was recently named a top 10 healthcare innovator;UN,iHub,Nailab.",141086913
"Co-Founder, Youth For Change Initiative; Focused on empowering young lives in Kisseman. Developed a website for the initiative. Adjudged Spectator initiative of the month (September).",141305032
Current Events Society. Founder and President; A round table discussion of important current event stories.,141308058
"Founder, SFLS Voice: Poem Recording Club; Gathered 10+ poetry lovers to read in free style; recorded our reading with different roles/functions; aimed to improve oral English reading ability.",141315467
"Initiator, Co-Founder, SFLS Chemistry Workshop; Co-established platform for chemistry-enthusiasts; conducted series of fantastic experiments, e.g. colorful crystal experiment, Iodine clock reaction.",141315466
"Co-Founder and President, SFLS Guinness Committee; Initiated the SFLS version of Guinness World Record system; evaluated all preliminary challenges; ran social media to promote SFLS Guinness activities.",141315465
"Founder,Lead Trainer,Paradox Physics School,BdPhO; Engendering Physics education, experimentation and research,training students for Bangladesh Physics Olympiad(BdPhO) & assisting in BdPhO events.",141315722
"President, Founder, Trainer, Programming Club, SGS; Teaching programming to high school students, engaging them in problem solving and projects, and preparing them for Bangladesh Informatics Olympiads.",141315723
"CFO and Founding Member of Wildlife Club; Represented club for school government funding, managed costs and fundraising activities.",1413419410
"Founder and Head of Transformational Geometry Club; After class discontinued, created place for students to learn, encouraged reluctant students to love math, successfully petitioned to reinstate class.",141341945
"Co-founder and shareholder of Teemay Coffee; Founded a 600 meter squared coffee shop generating 2000 USD in daily revenue; Raised approx. 200,000 USD from seed funding; Attended board meetings .",141588481
"Asian American Pacific Islander Group, Cohead (12); Affinity group; biweekly discussions on issues involving the AAPI community; founding member.",141666594
Code Club Founder and President; Created the school's website and educated staff and students of innovations. Taught a hundred students to code.,141727915
Founder & President of Asian Pacific Islander Club; Taught the cultures of Asia and the Pacific Islands. Performed in cultural events.,141727914
Founder of Drama Club; I started a drama club mainly for film making and acting performance. we made video clips that can be played on the weekly assembly.,141755589
"Co-founder of World Language Club; I started a world language club with our high school teacher Mrs. Gutierrez. As a club, we learn Spanish, Japanese, Portuguese, and other languages.",141755588
Artist-Founder of Fundraiser for Leukemia Children; 32 personal artworks auctioned in 12 solo/group exhibitions at art museums in Florida/Vietnam. Raised $4300 for leukemia children at hematology inst.,142033357
"President of Mu Alpha Theta (145-member club); Founded fundraising project ""Math-a-Thon."" Oversaw weekly practices/tutoring requirements. Won top 4 (pre)calculus prizes in regional/state contests."".",142033353
Founder/President-Tutoring for Immigrant Children; Led a 32-student team to mentor/tutor local lower/middle schoolers (including 51 immigrant children) in various subjects 5 times/week.,142033354
Co-Founder/Organizer of Public Health Campaign; Partnered with local hospitals; organized blood drives. Collected 2100 blood units. Trained 400 volunteers to promote blood donation in 3 provinces.,142033356
"Founder, Renovearth Bangladesh; I founded an organization to raise awareness of environmental issues, and create solutions better-suited for developing countries.",142162944
"Co-founder/co-leader, She's the First club at DHS; Founded & lead campus chapter, 70 members. Sponsors girls' education in low-income countries. Raised $1400. Sponsor 1 girl in Nepal & 1 in Peru.",142177741
"Founder and President of the SAI Club; Led $50,000+ fundraising for charities, organized 5,000+ meals for homeless, sponsored 1,200+ sight-restoring surgeries for children.",142367411
"Founder, Project Trailblazer in Gender Rights; The project certifies companies with wage equality among different gender peers in similar roles. It will be implemented on testing companies in 2017.",142523201
"Founder JaguarMun/Delegate, Model United Nations; Founded my town's first MUN in partnership with the Secretary of Education and local college/ Represented several nations & debated global issues.",142523206
Founding Member - Interact Club Ploiesti; Organized a charity show to raise funds for families with low income and a book donations gathering for local institutions.,142737007
Opportunities Lab - Vicepresident; Founded an organization which helps high school students find research internships in Romanian Universities.,142737005
"Ecommerce Business: Bigfoot Shaves Co-Founder; Package, ship, sell, and market grooming products and shaving commodities. Grew to a 100,000 dollar / year business with 5-star products on Amazon.",142817181
Co- Founder; Educated our peers on using the environment wisely and carried clean up campaigns in our community.Was the club making a difference at school in 2013.,142873765
"Co-Founder & Organizer, School Library System; Established first platform for book sharing for students and teachers at my school. Circulated books people wanted to exchange & share.",142985337
Founding Member of K.R.U Rap Group; Held concerts and rapped favorite songs to raise funds for Starkey Hearing Foundation.,143059257
"Founder/Captain of Varsity High School Soccer Team; Founded school soccer program, it took extensive fundraising and organizing; acted as team captain. Also was member of Yeshiva soccer team in Israel.",143127241
"Verano Ensemble, co-founder and section leader; contact & schedule performances at senior homes, lead rehearsals, perform event honoring Congressman Frank Wolf & Paxton Campus fundraising campaign.",143144742
"Founder and C.E.O, Kids and Math Organization; Teach underprivileged schools Math using a more practical approach. Raised Ghc1,000 in 2015 to donate 300 Math books to 2 underprivileged schools.",143179291
"Co-founder and Organizer - PROTISHRUTI; Planning and organizing regular fund-raising events, I used the funds to ameliorate the lives of people subject to extreme poverty in rural areas.",143218032
"Founder, Make it club; We encouraged innovation among students by helping them build simple machines. We once built a solar oven.",1434121210
"Founder, Blood Donation Awareness Outreach; We collaborated with clinics to educate people on blood transfusion and conduct blood donation exercises accross  the region.",143412128
"Founder and president; gave students the place and platform to explore their abilities through making sculptures, simple robots, watches,etc.",143412122
Co-founder of the club; My friend and I led our club members to practice the skills of badminton at every weekend.We even held matches at school.,143464777
Titus Elementary Mentors Club: President&Founder; Advise elementary students on academic and social issues to support their school life. Plan and organize educational and social programs.,143561781
"Founder & Administrator/ Honest Farmers Company; Created and manage a non-profit website for elderly farmers in Chuncheon, Korea to provide a direct online sales channel for their fresh local produce.",143620562
Founder & President/ Academic Mentoring Program; Provided one-to-one tutoring for international students/ Oversaw weekly staff meetings to monitor tutors and to track students' academic progress.,143620561
"Co-Founder of the L.U. Recycling Program; The creation of the L.U. Recycling Program directly led to the placement of recycling bins around campus and the promotion of ""eco-friendly"" measures."".",143644836
Founder of the Learning Unlimited Homework Club; The founding of this club enabled me to render academic assistance to students at the high school and A.P. levels.,143644832
"Founder, President, Designer of Hope Club; We give hope to children in Cambodia by connecting with them through letters, shoeboxes, small gifts, and sometimes personal trips to Cambodia.",143744291
"Founder and President of Ping Pong Club; Compete in Utah & at Nationals, ranked in U.S., 1st at Pacific Coast Open Tournament, president & founder of club, organized statewide youth team.",143787716
Founder and Creator of Volunteers United; This project aims to teach Syrian women and children Turkish. First class opened in May 2016. The project has been reported on by national newspapers.,143808671
