label,text
0,explored medical science issues on saturdays and created awareness about them to student body.
0,position in the student council organized profitgenerating activities that meet student demands.
0,im most dedicated to bethlehem bakery that my mother and i founded it aims to help underprivileged kids develop interests in nonacademic fields.
0,business plan develop entrepreneurship lecture.
0,st mary theater team was founded to serve in the local church and to organize shows for various occasions.
0,as the president i organized club meetings and events with other board members such as fundraising a school blood drive and a cpr training course.
0,teaching programming to high school students engaging them in problem solving and projects and preparing them for bangladesh informatics olympiads.
0,after class discontinued created place for students to learn encouraged reluctant students to love math successfully petitioned to reinstate class.
0,created the schools website and educated staff and students of innovations taught a hundred students to code.
0,led a student team to mentortutor local lowermiddle schoolers including immigrant children in various subjects timesweek.
0,founded an organization which helps high school students find research internships in romanian universities.
0,we give hope to children in cambodia by connecting with them through letters shoeboxes small gifts and sometimes personal trips to cambodia.
0,founded club to help students prepare for sat esp those who cannot afford expensive sat prep classes promote program and teach math and english.
0,as president of vegass very first community based club i volunteer my time promoting disaster relief and educating locals on disease prevention.
0,i help poor students of a slum near my home in their daily homework host small activities for them and raise funds to improve their school conditions.
0,newly established club providing italian language instruction and cultural enrichment opportunities to dozens of manogue students.
0,co founded with one other student this club tries to engage students in organized debate regarding current politics.
0,founded the cleveland academy of leadership cal book drive donated books to cal a title one school with underserved minorities.
0,codirected video projects and bilingual broadcast on all schools grand festivals and events since grade expanded the club from to members.
0,discuss current politics and events through a political scope while bringing people together from across the political spectrum.
0,founded an esports organization to promote competitive gaming in the middle east and benefit the red crescent society.
0,i founded a club to do review sessions after classes also we sometimes provided interesting math problems to expand horizon.
0,my work had me featured on bbcs list of top women of jugnoo provides solutions to harmful impacts of climate change on women in pakistan.
0,created club to facilitate discussion of artart history class at school of the art inst of chicago independent projects.
0,founded a supporting group for childrens education in pakistan organized fundraising project every summer collected each year for donation.
0,recruited members promoted community services inside campus provided outsidecampus community services opportunities to members.
0,i supported community service activities and conferences on topics like youth environment education and leadership.
0,challenged the school boards restrictions on studentinitiated clubs volunteer and raise money for local charities and spread political awareness.
0,cofounder.
0,organized discussions of supernatural science cases like bunshinsaba and outofbody experiences used bio phys or chem to explain those phenomena.
0,i am the founder and president of the youth group praise team at the korean presbyterian church i select the pieces and organize the rehearsals.
0,came place in the swimming competition of nanjing youth group provided training for new members.
0,released three mixtapes rb ep over total songs composed received collaboration offer from la rapper benny troung plays on soundcloud.
0,cofounded law society club invited guest alpharetta police explorer to speak for members on recent events hosted discussions and debates.
0,various chinese cultural related activies in high school offering free chinese lessons introducing chinese culture and hosting chinese food sales.
0,letter to soldiers club.
0,i have cofounded abstract mart to help promote digital artwork in bangladesh it has over active artists more than users.
0,club to explore aspects of investments and stock market.
0,formed and operated a small company to help young writers to plan and publish their work ensuring that they are entitled to fair compensation.
0,md juniors goal is to foster and encourage the growth of young aspiring doctors through selfless service.
0,founded independent organization to advance values in community service spearheaded events in partnership w local establishments.
0,started a service to improve education in my locality where i tutor elementarymiddle school students in subjects of math reading spanish etc.
0,started wechat official account to discuss chemical elements and new energy shared stories of local people to promote green awareness.
0,created programsociety in order to help local youth exit a life of bad habits developed website interacted with local political and businessfigures.
0,the program is devoted to rehabillitating the oyster population in the chespeake bay i was recognized by the county for environmental activism.
0,planned coordinated activities for youth including social educational regional events.
0,working on a project called effect of nigella sativa seeds on lipid homeostasis in the human body.
0,won a contest to develop an app which my team created at the studio in downtown chicago.
0,inform and educate the community about recent advancements in scientific and technological fields by hosting discussions and assembly announcements.
0,national acknowledgment for pen pal club box toy drive visit to nicaragua to teach in spanish and create after school programs for nagarote youth.
0,read discussed books documents extensively w history enthusiasts published views on historical novels dramas on school paper.
0,led book collection drivetaught maths to children of sarhaul villageorganized events to spread literacy and encourage scientific rational thinking.
0,founded and legally registered the association in hosted many lacrosserelated events and clinics to teach people lacrosse in shenzhen china.
0,this is a club with members from ca tx and beijing we hold weekly online meeting and fundraising events to operate a student loan program in china.
0,i fostered the idea of tmf the organization has been officially approved as a npo approximately have been raisedkick off event coming soon.
0,educate those in need about public health issues vital to childrens survivalplan international dinners advocate in school community ages adult.
0,founded political organization that educates the college student demographic on federal bills and relays their opinions to their representatives.
0,founded a chapter at our school organize community service events.
0,we incorporate the principles of laugh therapy to form a welcoming and safe community within our school letting all of us gain happiness.
0,i manage and coordinate activities and events to support the local community.
0,gather girls interested in stem careers by creating opportunities for club members to meet professionals in the stem field.
0,threeweek business intensive with written assignments from harvard and stanford uni texts completed a full business plan at end of the program.
0,recreate carols and folk songs perform at churches or nursing homes use music to help strengthen connections within community.
0,initiated project to raise money for migrant workers in florida designed and created jewelry developed and distributed medical health packs.
0,this is a school club that donates to soccer lovers in third world countries that cannot afford proper equipment we have raised thousands of dollars.
0,dedicated to giving underprivileged children weekly basketball lessons.
0,donated over to stop the use of child soldiers.
0,praying for community and for each other while also reaching out to disheartened students also a place of unity for christian students.
0,responsible for the conception and the planning of three business plans including a learning centre a bikesharing system and a taxisharing app.
0,conducted sunscreen experiments in middle and elementary schools founded health campaigns and sugar display spearheaded health promoting art project.
0,songs for shelter is a cause that i cofounded that organizes benefit concerts to raise money and awareness for teen homelessness.
0,i run a service project that provides instruments to low income students free of charge so they can join the school band illinois innovators award.
0,grew club to over members organize unique fundraisers to amass nearly annually correspond with maw to coordinate a variety of wish grants.
0,founderleader club that focuses on economics and the stock market and business skills.
0,recruited coached and built a team of percussionists recognized and commended for establishing the band as an integral part of schools culture.
0,supports social justice by using petitions and spreading awareness of world issues.
0,essentially just a stock market club we discuss various things in the stock market indexes reits trends hedge funds etc.
0,initiated proposed and set up the club with friends discussed concepts of the stock market analyzed cases about investment played investment games.
0,annual stock simulator competition joint events with other clubs around wall street theme city trip to wall street.
0,flutist in bergen county band and bergen county regional band founder and director of soul music program member of bctc church music team.
0,ignited student interest in stem by turning science into stories partnered with uci bioengineering lab taught at low income family resource centers.
0,encouraged underresourced families apply to colleges held presentation writing workshop invited alumni speech promoted by creating website.
0,i created this club with my best friend its purpose is to provide stress relief in the form of various skill toys.
0,i founded a recreational soccer league involving friends in the summer we played on or on twice a week.
0,design and build applications for the iphone create art assets for application in photoshop.
0,established club to nurture the development of amateur musical talent with low start up costchose musictaught lessonsorganized performancesrecruit.
0,curate and edit sole school newspaper manage contributors brand site and increased readership to followers.
0,manage finances for a studentfounded startup helping international students adjust to us high schools act as student rep for the masters school.
0,raised funds and created awareness to improve daily living conditions in a lowincome rural community.
0,housed children raised over dollars participated in multiple triathalons to fundraise organized bakesalesfairs recognized by founder.
0,founded nonprofit organization with my parents in honor of my sister.
0,spearheaded stemfestinteractive science classes for youth at public library joined with techsarecruit members hold weekly after school practice.
0,i founded this school magazine with my friends wrote articles for it and helped sell magazines.
0,organize free one on one tutoring for middle school students in my school.
0,a leadership development program with lectures on financing capitalism etc engage in entrepreneurial stimulations.
0,lead club events such as meetings cultural food night movie screening and holiday party grew club to over members.
0,coded websites for the high performance computing team in the bmi department webadmin for acmbcb conference httpacmbcborg.
0,created so members can enjoy photography in a casual supportive setting learned film photography currently an online photo contest contestant.
0,founded fencing club added pe curriculum at high school earned e rating placed nationwide in div in div womens epee.
0,recruited and trained team of thirty students awarded two mvp awards by opponents and outstanding performance award by the county.
0,cofounded club planned first annual alumni panel for monroe high school graduates to advise underclassmen on stem in collegecareerresearch.
0,founded mun leadership series interviewed unicef reps thimun executives authored articles research guides conducted hr investigation.
0,c creating creative children is a club aimed at helping lowincome schoolsorphanages gain access to books we have collected over books.
0,csi ideas that inspire is an initiative which seeks to spread the insightful ideas that ted talks have to offer through classes screenings etc.
0,club for those interested in sciencemedicine i invite various speakers and organize our annual k to fundraise for breast cancer research.
0,transformed student community by working with nami and county government creating a stigmafree environment and raising awareness of mental illness.
0,organize write up perform weekly chemical experiments in order to encourage members interest in chemistry and knowledge of lab procedures.
0,collected over tennis balls around houston partnered with natural pawz pet store who sells them and donates all proceeds to animal charities.
0,founded a club aiming to empower women planned led and organized donation events led discussions on contemporary gender issues.
0,cofounded student organization through alliance of different countries held photo exhibition global art movement for the human right.
0,cofounder and treasurer of local club chapter organized finances and educational programming taught portions of curriculum for state competition.
0,created middle schools first science fair coordinating and planning benefited my planning skills event was extremely successful.
0,founded and organized the project from planning to operation created syllabi and directed team members to operate free english and french classes.
0,helping approach build improvement techniques organize and lead meetings help students manage time overcome procrastination study better.
0,my group offered courses on various topics such as rubiks cube and life science to migrant workers children.
0,rallied at lunch and after school competed in internal tournaments organized fundraisers raised more than taught students tennis.
0,brainstormed and implemented startup business ideas learned the risk of overinventory the hard way.
0,in this club we learn to analyze stocks stock market history and crashes fraud and finances in general.
0,participate in theoretical investment competitions plan and implement entrepreneurship opportunities around the school.
