Founder and Chair at YuwaShakti; Its a motivating campaign started by teenagers so that youths can stand on their own. Independence and Unity of youths is the motto.
"Founder & President, totalgirl.org; To promote awareness about the state of education and health for displaced girls  Deliver books and sanitary pads to them. Featured in Vanguard news."
"Founder & President, Hillcrest Medical Club; Explored medical science issues on Saturdays and created awareness about them to student body."
"Founder of 'Guitar club' at school; Played in Christmas concert, guest feature at Poetry Olympiad, tutored students."
"Founder/Chief Analytics Officer of GliaLab; A startup which offers a novel approach to diagnosing breast cancer. As CAO, I've helped the startup raise 2M since starting. Check out GliaLab.com."
CoFounder-The Village Empowerment Program; Collaborated with a rotary club and established a school in a village-RAKKAMPALIYAM-and taught social-science & science to underprivileged children.
Founder-ANTI BULLYING INITIATIVE; Collaborated with a behavioural counselling agency and conducted workshops and seminars for 1000 students in 14 schools to tackle adolescent bullying.
"Seulo Esperanto Junalara Asocio, Founder/President; The Seoul Esperantist Youth Assoc. functions to allow secondary students from Seoul and surrounding areas to learn and become immersed in Esperanto."
"Founder of UU Connect (Uvira-Uijongbu Connect); Pen-pal program that strives to teach English to 20 secondary students of Uvira, DR Congo; volunteers from four different countries."
"Co-Founder, Co-President/Girls Who Code Club; Established first coding education club in Syosset High School to promote girls in computer science; developed codes for drones and Arduinos."
"Founder, President/Murang Music; Founded non-profit organization promoting power of music; hosted biannual fundraiser concerts raising $2000 per year and summer concert series."
"Founder of Kerhadov; Kerhadov is an independent student organization dedicated to those who are eager to discuss philosophy, history, politics, culture and current events."
President and Founder of Rho Kappa; I founded the Social Studies Honors society at my school to recognize students who commit to academic excellence in social studies.
"Founder of the Entrepreneurship Club; Taught entrepreneurship concepts to members, such as the Business Model Canvas (BMC), hypothesis testing and experimenting in business."
"Founder and host of Community Concert; Hosted the concert for consecutive years, responsible for catering, organizing activities, delegating jobs to volunteers."
"Founder/ chairman; created awareness on ways of conserving the environment, planted trees different parts of the country, won United Nations environment programmer prize."
Physics Club Cofounder & Research Committee Head; The Physics Club was founded to share the beauty of Physics & Astrophysics with the public in a simple spectacular way.
