commonappid,actnum,hondet,commonactid
15006598,5,Co-founder - Gear; Startup responsible for Gear OS and Gear Risto‚ projects. We obtained the prize for best project and business plan of Paraguay Emprende's contest.,150065985
15517950,4,"President/Founder, Club Strive; Funds for children in need of prosthetics, partnered with global non-profits (Innovacion Orthopedica), fundraisers at farmer's markets with DIY goods.",155179504
15604027,3,Chess Club (Founder & President); Utilize Chess.com as a platform to hold annual international chess tournaments with Lycee Victor-Hugo in France and Beijing 101 High School.,156040273
15743688,1,"Communications Internship at The Midwife Is In; Managed social media accounts for Certified Nurse Midwife Chloe Lubell, founder of The Midwife Is In.",157436881
15745194,3,"President and Founder, Sonamos Juntos; International Children's Peace Prize Nominee. Raised $20,000+. Project serves 40+ children. Created 3 alliances. Interviewed by Amcham & Repretel.",157451943
15774851,3,"Founder, Leader, Mesapanol; Mesa (table) + Espanol (Spanish) = Mesapanol. We meet weekly in the cafeteria to have Spanish-speaking tables. A casual lunch, but in Spanish!.",157748513
15798600,1,"Editor-in-Chief and co-founder; I helped create my high school's first official publication, the cultural magazine Tant, and regularly work on it as an editor, publicist, and writer.",157986001
15801688,2,"Founder of Quinceaneras to College Organization; Created organization, website, and social media system; produced marketing tools; and built networking connections.",158016882
15846686,8,"Founder of Hope for Aleppo; I founded Hope for Aleppo to support humanitarian aid for Syria through fundraising, translating, and reporting news.",158466868
15902341,2,"Jovenes Pro-Vida El Poblado, Founder; Created and lead a youth group to promote the pro-life movement as well as other messages of positivity and service efforts within local communities.",159023412
15916177,2,"Shes the First *{ANS} president; Founded the chapter, grew to 30 members, held weekly meetings, raised $1500 each year, won Casa Pellas award, spread impact locally/ internationally.",159161772
15917129,2,"Co-founder; Designed and created Kettlebrains, A brain shaped kettlebell with a goal being to raise awareness of Dementia that  may be prevented with exercise.",159171292
15930306,1,"Founder, Incluyeme (autism awareness organization); Incluyeme, an organization I launched to raise awareness about autism, fundraises to sponsor training sessions for parents of children with Autism.",159303061
15933142,7,Founding Member of TedX at Inha University; We opened a TedX seminar in Inha University to give high school students informations about setting up their future.,159331427
15948884,2,"Co-Founder, Treasurer and Tutor - CodeNation/ACSL; Organize tutoring plans and teach middle school students how to code in many computer programming languages weekly.",159488842
15952262,4,"Founder/Vice President, French Club, GVCS; Learned French language and culture; gave French culture presentations for educating members; directed school's first ""Fete de la Musique"" performance"".",159522624
15975896,2,"Co-Founder/WE CARE Startup Company; Startup offering tracking and security solutions using NFC/Crowd GPS: raised 9000, won a national distinction, presented in the EU parliament.",159758962
16234423,1,"Tot's Dream, Founder/President; Raised a total of 15,000 towards Shandong's Youma school; yearly visits to the school; initiated the ‘1000 Dream scholarship for 3 students per year.",162344231
16237042,7,Club Co-Founder and Co-President; National Language Interpretation Society- aid foreign immigrants to Los Angeles by using students' multilingual speak.,162370427
16242058,6,"Lights In Action President and Founder; LIA is a club that I started to raise funds for Texas Childrens Hospital, to support Mariana's Room.",162420586
16250802,9,"Board Member of Cafe, on Campus Affinity Group; I, along with 12 other seniors founded a Women of Color Affinity Group.  We intend to reach out to underclassmen of color and make them feel welcome.",162508029
16274617,2,Founder & Presidentof StarriverSchool Chapter-IWA; Organized a team to investigate education environment for girls in Guizhou; Created a micro-financing market by procuring material for girls.,162746172
16327869,1,Founder Student cafe; Founder of the first Student run biz in school.Independently partnered with local restaurants. Designed menu and delivery schedule to serve athletes.,163278691
16358519,2,"Project Founder & Leader, Ribbons and Bows; Created and led service project to make hair accessories for children in orphanages. Recruited members, bought supplies, created & delivered products.",163585192
16418183,2,"Kids3D, Founder and Instructor; Educational program that teaches disadvantaged youths 3D design and printing technology through an intensive program at the Boys and Girl Club.",164181832
16419954,8,"Founders Club: Leader; Selected by School Administrators to represent and promote the School to prospective families, trustees, and visiting guests.",164199548
16473741,1,"Founder and president, 'Sendelta Storm' Magazine; Designed to build a platform to publish students' excellent works and deliver public voice; The club already has 20 members and 1000+ followers.",164737411
16604917,4,"Founder and President, Playtime en Espanol; Community driven Spanish Learning Program for children, promoting bilingualism, Spanish stories, crafts, songs, and games.",166049174
16617993,3,"Co-Founder, Garbage Classification Station; volunteer to classify recyclable trash in community storeroom; liaise with Futian Green to claim weekly; devoted to promoting a sustainable community.",166179933
16622460,7,Founder of Self-research about School Cafeteria; Investigated students' food choice(Nutrition of Taste) and health conditions in School Cafeteria;explored the connection between them.,166224607
16946475,4,"Lideres Leadership School program graduate; Received lectures on business, marketing, ethics, etc. Personally invited by its founder. One of the youngest participants.",169464754
16946475,8,Vocata social initiative founder and member.; Founded Vocata as part of the Lideres program. Served poor kids from the Isla Trinitaria slums with ludic activities and donations.,169464758
16995470,1,"Animal Shelter Project Founder; Led group to raise 1500for shelters;rescued stray animals;shared information on the Internet by photos,articles and videos;spayed stray animals.",169954701
17040587,2,"Founder/ WeChat platform ""Today I am the Teacher""; Set up the platform for students to exchange study reflections and growth experience, as well as to share learning resources.",170405872
17169525,4,"La Barista Co-Founder; The student-run cafe serves as a lounge and venue for club activities, personal meetings and a getaway from intense studies at school to destress.",171695254
17249694,2,Initiator / Co-founder of GAC XEP MUSICAL CLUB; Co-founded and led first FPT High School musical club. Planned club activities to participate in various school's events.,172496942
17249694,3,Initiator / Co-founder of TACH TACH PHOTOGRAPHY CL; Co-founded first FPT High School photography club. Build club membership to over 30 students within 6 months. Organized and led weekly meetings and.,172496943
17249694,4,"Initiator / Co-founder of SAC PHOTOGRAPHY SOCIAL C; Created SAC, a social photo community for national wide high school students, with over active 2,000 member.",172496944
17337657,2,"Co-founder and president - High School Drama Club; Adapted, directed and starred in four dramas and raised 1500 ($215) for local charity by one performance.",173376572
17454268,1,"Volunteer network founder, Seja a Diferencia; Created a network of 492 young volunteers that work on the city's major problems. Last month we increased 86.2% of the child cancer institute income.",174542681
17458663,6,"La Voix Differente (The Different Voice), Founder; I can fluently use French. I created a French club to improve our French by collecting news published in the francophone countries' major media.",174586636
16429750,10,"Pokemon Club, Founder and Co-President; Students with an interest with Pokemon gathered and discussed the theories and strategies and coordinated monthly tournaments.",1642975010
14004331,1,Founder and Chair at YuwaShakti; Its a motivating campaign started by teenagers so that youths can stand on their own. Independence and Unity of youths is the motto.,140043311
14004401,2,"Founder & President, totalgirl.org; To promote awareness about the state of education and health for displaced girls  Deliver books and sanitary pads to them. Featured in Vanguard news.",140044012
14004401,6,"Founder & President, Hillcrest Medical Club; Explored medical science issues on Saturdays and created awareness about them to student body.",140044016
14005855,5,"Founder of 'Guitar club' at school; Played in Christmas concert, guest feature at Poetry Olympiad, tutored students.",140058555
14007582,1,"Founder/Chief Analytics Officer of GliaLab; A startup which offers a novel approach to diagnosing breast cancer. As CAO, I've helped the startup raise 2M since starting. Check out GliaLab.com.",140075821
14008315,2,CoFounder-The Village Empowerment Program; Collaborated with a rotary club and established a school in a village-RAKKAMPALIYAM-and taught social-science & science to underprivileged children.,140083152
14008315,3,Founder-ANTI BULLYING INITIATIVE; Collaborated with a behavioural counselling agency and conducted workshops and seminars for 1000 students in 14 schools to tackle adolescent bullying.,140083153
14014951,1,"Seulo Esperanto Junalara Asocio, Founder/President; The Seoul Esperantist Youth Assoc. functions to allow secondary students from Seoul and surrounding areas to learn and become immersed in Esperanto.",140149511
